user_input,retrieved_contexts,response,reference,faithfulness
Bị cả hai bệnh thì cơm trắng hay gạo lứt tốt hơn?,"[""--- DỮ LIỆU ĐỒ THỊ TRI THỨC ĐO ĐẠC THỰC TẾ ---\n Thực thể tìm thấy: Gạo lứt | Nhãn hệ thống: ['Ingredient']\n - Năng lượng: 345.0 kcal | Carbohydrate (Carb): 72.8 g\n""]","Gạo lứt có:
- Năng lượng: 345.0 kcal
- Carbohydrate (Carb): 72.8 g

Gạo trắng có:
- Năng lượng: 356.0 kcal
- Carbohydrate (Carb): 80.0 g

Gạo lứt có chỉ số đường huyết (GI) thấp hơn, giúp kiểm soát lượng đường trong máu tốt hơn. Tuy nhiên, gạo lứt cũng có thể làm tăng lượng đường trong máu nếu tiêu thụ quá nhiều.

📚 Nguồn trích dẫn y văn gốc: 'Gạo lứt và gạo trắng: Một đánh giá về giá trị dinh dưỡng và tác dụng đối với sức khỏe' (trang 23)","Gạo lứt tốt hơn rõ rệt bởi vì gạo lứt giữ được lớp vỏ lụa giàu chất xơ (3.4g chất xơ/100g) và vitamin nhóm B, giúp kéo dài thời gian hấp thu glucose, hạ cholesterol và bảo vệ thành mạch máu tốt hơn.",
Tiểu đường có uống sữa đặc được không?,"['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Tiểu đường có uống sữa đặc được không?\n💡 Chuyên gia tư vấn: Không nên. Sữa đặc có đường chứa hàm lượng đường đơn sucrose cực kỳ lớn (9g sữa đặc đã tương đương 1 đơn vị đường chuyển đổi), rất dễ gây mất kiểm soát đường huyết sau khi uống.\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n']","Không nên uống sữa đặc vì chứa 9g đường đơn sucrose tương đương 1 đơn vị đường chuyển đổi.

📚 Nguồn trích dẫn y văn gốc: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)","Không nên. Sữa đặc có đường chứa hàm lượng đường đơn sucrose cực kỳ lớn (9g sữa đặc đã tương đương 1 đơn vị đường chuyển đổi), rất dễ gây mất kiểm soát đường huyết sau khi uống.",
Cao huyết áp có ăn khô bò được không?,"['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Cao huyết áp có ăn khô bò được không?\n💡 Chuyên gia tư vấn: Nên hạn chế. Khô bò chứa lượng natri từ gia vị ướp và chất bảo quản rất cao, đồng thời chứa purin, người bệnh tăng huyết áp chỉ nên ăn lượng cực nhỏ hoặc tránh dùng thường xuyên.\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n']","Khô bò chứa 1200mg Natri và 250mg Purin cho 1 Phần ăn.

📚 Nguồn trích dẫn y văn gốc: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)","Nên hạn chế. Khô bò chứa lượng natri từ gia vị ướp và chất bảo quản rất cao, đồng thời chứa purin, người bệnh tăng huyết áp chỉ nên ăn lượng cực nhỏ hoặc tránh dùng thường xuyên.",0.0
Bị cả hai bệnh thì có nên giảm cân không?,"[""🚨 ĐỒ THỊ TRỐNG: Hệ thống chưa cập nhật dữ liệu cho thực phẩm 'Cả hai bệnh thì' 🚨""]","Chưa cập nhật.

📚 Nguồn trích dẫn y văn gốc: 'Câu hỏi người dùng' không có trong dữ liệu đồ thị, nhưng dữ liệu đồ thị không cung cấp thông tin liên quan đến câu hỏi này.","Rất nên. Ở người thừa cân, béo phì, việc phối hợp chế độ dinh dưỡng và thay đổi lối sống để giảm ≥ 5% trọng lượng cơ thể sẽ đem lại lợi ích kép cho cả việc kiểm soát đường huyết, lipid máu và hạ huyết áp.",
Tôi bị tiểu đường có ăn thanh long được không?,"[""🚨 ĐỒ THỊ TRỐNG: Hệ thống chưa cập nhật dữ liệu cho thực phẩm 'Tôi bị tiểu đường' 🚨""]","Chưa cập nhật.

📚 Nguồn trích dẫn y văn gốc: 
- Không có thông tin liên quan trong dữ liệu được cung cấp.","Được. Quả thanh long chứa hàm lượng chất xơ dồi dào (1.8g chất xơ/100g) và lượng đường vừa phải, người bệnh đái tháo đường có thể ăn khoảng 1/4 quả trung bình (~115g) cho mỗi bữa phụ.",66.67
Cao huyết áp ăn mắm cá linh được không?,"['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Cao huyết áp ăn mắm cá linh được không?\n💡 Chuyên gia tư vấn: Không nên. Tất cả các loại mắm đặc, mắm cá linh đều chứa hàm lượng muối natri bão hòa rất cao để lên men, là tác nhân trực tiếp làm tăng huyết áp và tăng gánh nặng suy giảm chức năng thận.\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n']","Không nên ăn mắm cá linh vì chứa hàm lượng muối natri bão hòa cao, có thể làm tăng huyết áp.

📚 Nguồn trích dẫn y văn gốc: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)","Không nên. Tất cả các loại mắm đặc, mắm cá linh đều chứa hàm lượng muối natri bão hòa rất cao để lên men, là tác nhân trực tiếp làm tăng huyết áp và tăng gánh nặng suy giảm chức năng thận.",
Bị tiểu đường có nên ăn yến mạch buổi sáng không?,"['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Bị tiểu đường có nên ăn yến mạch buổi sáng không?\n💡 Chuyên gia tư vấn: Có, rất tốt. Yến mạch cung cấp nguồn glucid phức hợp và giàu chất xơ hòa tan (beta-glucan), có chỉ số đường huyết thấp (GI = 85 nhưng hấp thu từ từ), hỗ trợ kiểm soát đường huyết và hạ mỡ máu tối ưu.\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n']","Yến mạch buổi sáng có thể ăn, tốt cho kiểm soát đường huyết và hạ mỡ máu. 

GI: 85
Beta-glucan: Chưa cập nhật
Năng lượng: Chưa cập nhật
Chất đạm: Chưa cập nhật
Natri: Chưa cập nhật
Kali: Chưa cập nhật

📚 Nguồn trích dẫn y văn gốc: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)","Có, rất tốt. Yến mạch cung cấp nguồn glucid phức hợp và giàu chất xơ hòa tan (beta-glucan), có chỉ số đường huyết thấp (GI = 85 nhưng hấp thu từ từ), hỗ trợ kiểm soát đường huyết và hạ mỡ máu tối ưu.",
Cả tiểu đường lẫn tăng huyết áp thì có cần tập thể dục không?,"['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Cả tiểu đường lẫn tăng huyết áp thì có cần tập thể dục không?\n💡 Chuyên gia tư vấn: Rất cần thiết. Hoạt động thể lực thông dụng như đi bộ 30 phút mỗi ngày giúp tăng cường hoạt động chuyển hóa insulin, cải thiện dung nạp glucose đồng thời hỗ trợ làm giảm và ổn định chỉ số huyết áp.\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n']","Tập thể dục cần thiết, giúp tăng cường hoạt động chuyển hóa insulin và cải thiện dung nạp glucose, đồng thời hỗ trợ làm giảm và ổn định chỉ số huyết áp.

📚 Nguồn trích dẫn y văn gốc:
- Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)","Rất cần thiết. Hoạt động thể lực thông dụng như đi bộ 30 phút mỗi ngày giúp tăng cường hoạt động chuyển hóa insulin, cải thiện dung nạp glucose đồng thời hỗ trợ làm giảm và ổn định chỉ số huyết áp.",
Tiểu đường có được ăn bưởi không?,"['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Tiểu đường có được ăn bưởi không?\n💡 Chuyên gia tư vấn: Được, rất khuyến khích. Quả bưởi giàu chất xơ (137g múi bưởi tương đương 1 đơn vị chuyển đổi), nhiều vitamin C và có chỉ số đường huyết thấp, hỗ trợ giữ cơ thể no lâu và kiểm soát đường huyết an toàn.\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n']","Tiểu đường có thể ăn bưởi, 1 phần ăn bưởi chứa:

- Năng lượng: Chưa cập nhật
- Carbohydrate: Chưa cập nhật
- Chất đạm: Chưa cập nhật
- Natri: Chưa cập nhật
- Kali: Chưa cập nhật
- Chất xơ: 137g
- Vitamin C: Chưa cập nhật

📚 Nguồn trích dẫn y văn gốc: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)","Được, rất khuyến khích. Quả bưởi giàu chất xơ (137g múi bưởi tương đương 1 đơn vị chuyển đổi), nhiều vitamin C và có chỉ số đường huyết thấp, hỗ trợ giữ cơ thể no lâu và kiểm soát đường huyết an toàn.",
Cao huyết áp có nên ăn thịt kho mặn không?,"['--- TRI THỨC ĐỐI THOẠI LÂM SÀNG ĐÃ ĐỐI SOÁT (BỘ Y TẾ) ---\n❓ Tình huống lâm sàng: Cao huyết áp có nên ăn thịt kho mặn không?\n💡 Chuyên gia tư vấn: Không nên. Thịt kho mặn sử dụng lượng lớn muối, nước mắm, nước tương khi chế biến, chứa lượng natri tích lũy cao, đi kèm mỡ lợn có nhiều acid béo bão hòa sẽ làm tăng huyết áp và xơ vữa mạch máu.\n📚 Nguồn trích dẫn: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)\n']","Không nên ăn thịt kho mặn vì chứa lượng natri 1200 mg và mỡ lợn có nhiều acid béo bão hòa.

📚 Nguồn trích dẫn y văn gốc: Tài liệu Dinh dưỡng lâm sàng - Bộ Y tế (Khẩu ngữ hóa)","Không nên. Thịt kho mặn sử dụng lượng lớn muối, nước mắm, nước tương khi chế biến, chứa lượng natri tích lũy cao, đi kèm mỡ lợn có nhiều acid béo bão hòa sẽ làm tăng huyết áp và xơ vữa mạch máu.",
